"","Ensembl_ID","Symbol"
"409","MIMAT0011163","hsa-miR-548q"
"410","MI0015826","hsa-mir-4293"
"411","MIMAT0016848","hsa-miR-4293"
"412","MI0006401","hsa-mir-1265"
"413","MIMAT0005918","hsa-miR-1265"
"414","MI0003127","hsa-mir-511"
"415","MIMAT0002808","hsa-miR-511-5p"
"416","MIMAT0026606","hsa-miR-511-3p"
"417","MI0017306","hsa-mir-4675"
"418","MIMAT0019757","hsa-miR-4675"
"419","MI0008336","hsa-mir-1915"
"420","MIMAT0007891","hsa-miR-1915-5p"
"421","MIMAT0007892","hsa-miR-1915-3p"
"422","MI0003616","hsa-mir-603"
"423","MIMAT0003271","hsa-miR-603"
"424","MI0025922","hsa-mir-8086"
"425","MIMAT0031013","hsa-miR-8086"
"426","MI0003617","hsa-mir-604"
"427","MIMAT0003272","hsa-miR-604"
"428","MI0005760","hsa-mir-938"
"429","MIMAT0004981","hsa-miR-938"
"430","MI0023623","hsa-mir-7162"
"431","MIMAT0028234","hsa-miR-7162-5p"
"432","MIMAT0028235","hsa-miR-7162-3p"
"433","MI0016001","hsa-mir-3611"
"434","MIMAT0017988","hsa-miR-3611"
"435","MI0017315","hsa-mir-4683"
"436","MIMAT0019768","hsa-miR-4683"
"437","MI0019116","hsa-mir-5100"
"438","MIMAT0022259","hsa-miR-5100"
"439","MI0014184","hsa-mir-3156-1"
"440","MIMAT0015030","hsa-miR-3156-5p"
"441","MIMAT0019209","hsa-miR-3156-3p"
"442","MI0015827","hsa-mir-4294"
"443","MIMAT0016849","hsa-miR-4294"
"444","MI0003618","hsa-mir-605"
"445","MIMAT0003273","hsa-miR-605-5p"
"446","MIMAT0026621","hsa-miR-605-3p"
"447","MI0006374","hsa-mir-548f-1"
"448","MIMAT0005895","hsa-miR-548f-3p"
"449","MIMAT0026739","hsa-miR-548f-5p"
"450","MI0016432","hsa-mir-3924"
"451","MIMAT0018199","hsa-miR-3924"
"452","MI0003780","hsa-mir-1296"
"453","MIMAT0005794","hsa-miR-1296-5p"
"454","MIMAT0026637","hsa-miR-1296-3p"
"455","MI0023611","hsa-mir-7151"
"456","MIMAT0028212","hsa-miR-7151-5p"
"457","MIMAT0028213","hsa-miR-7151-3p"
"458","MI0023612","hsa-mir-7152"
"459","MIMAT0028214","hsa-miR-7152-5p"
"460","MIMAT0028215","hsa-miR-7152-3p"
"461","MI0017307","hsa-mir-4676"
"462","MIMAT0019758","hsa-miR-4676-5p"
