"","Ensembl_ID","Symbol","Biotype"
"1009","ENSG00000121764","HCRTR1","protein_coding"
"1010","ENSG00000162517","PEF1","protein_coding"
"1013","ENSG00000084636","COL16A1","protein_coding"
"1014","ENSG00000121753","ADGRB2","protein_coding"
"1017","ENSG00000134668","SPOCD1","protein_coding"
"1020","ENSG00000184007","PTP4A2","protein_coding"
"1023","ENSG00000121774","KHDRBS1","protein_coding"
"1025","ENSG00000121775","TMEM39B","protein_coding"
"1028","ENSG00000025800","KPNA6","protein_coding"
"1030","ENSG00000084652","TXLNA","protein_coding"
"1031","ENSG00000160050","CCDC28B","protein_coding"
"1033","ENSG00000160051","IQCC","protein_coding"
"1034","ENSG00000222046","DCDC2B","protein_coding"
"1035","ENSG00000160055","TMEM234","protein_coding"
"1036","ENSG00000084623","EIF3I","protein_coding"
"1038","ENSG00000183615","FAM167B","protein_coding"
"1039","ENSG00000182866","LCK","protein_coding"
"1042","ENSG00000116478","HDAC1","protein_coding"
"1043","ENSG00000175130","MARCKSL1","protein_coding"
"1045","ENSG00000162526","TSSK3","protein_coding"
"1046","ENSG00000225828","FAM229A","protein_coding"
"1047","ENSG00000160058","BSDC1","protein_coding"
"1052","ENSG00000254553","RP1-27O5.3","protein_coding"
"1053","ENSG00000273274","ZBTB8B","protein_coding"
"1054","ENSG00000160062","ZBTB8A","protein_coding"
"1055","ENSG00000176261","ZBTB8OS","protein_coding"
"1057","ENSG00000162521","RBBP4","protein_coding"
"1058","ENSG00000162520","SYNC","protein_coding"
"1060","ENSG00000162522","KIAA1522","protein_coding"
"1061","ENSG00000134684","YARS","protein_coding"
"1062","ENSG00000116497","S100PBP","protein_coding"
"1063","ENSG00000160097","FNDC5","protein_coding"
"1064","ENSG00000121905","HPCA","protein_coding"
"1065","ENSG00000121900","TMEM54","protein_coding"
"1066","ENSG00000116514","RNF19B","protein_coding"
"1071","ENSG00000004455","AK2","protein_coding"
"1073","ENSG00000142920","AZIN2","protein_coding"
"1075","ENSG00000116525","TRIM62","protein_coding"
"1078","ENSG00000160094","ZNF362","protein_coding"
"1080","ENSG00000184389","A3GALT2","protein_coding"
"1082","ENSG00000134686","PHC2","protein_coding"
"1087","ENSG00000121903","ZSCAN20","protein_coding"
"1089","ENSG00000121904","CSMD2","protein_coding"
"1091","ENSG00000176256","HMGB4","protein_coding"
"1094","ENSG00000142698","C1orf94","protein_coding"
"1097","ENSG00000163866","SMIM12","protein_coding"
"1098","ENSG00000189280","GJB5","protein_coding"
"1099","ENSG00000189433","GJB4","protein_coding"
"1101","ENSG00000188910","GJB3","protein_coding"
"1102","ENSG00000187513","GJA4","protein_coding"
"1104","ENSG00000116544","DLGAP3","protein_coding"
"1105","ENSG00000284773","RP11-244H3.5","protein_coding"
"1107","ENSG00000271741","RP11-244H3.4","protein_coding"
"1108","ENSG00000243749","TMEM35B","protein_coding"
"1109","ENSG00000163867","ZMYM6","protein_coding"
"1111","ENSG00000197056","ZMYM1","protein_coding"
"1114","ENSG00000116560","SFPQ","protein_coding"
"1116","ENSG00000146463","ZMYM4","protein_coding"
"1122","ENSG00000142687","KIAA0319L","protein_coding"
"1124","ENSG00000020129","NCDN","protein_coding"
"1126","ENSG00000116819","TFAP2E","protein_coding"
"1127","ENSG00000126067","PSMB2","protein_coding"
"1128","ENSG00000142686","C1orf216","protein_coding"
"1129","ENSG00000092853","CLSPN","protein_coding"
"1131","ENSG00000134698","AGO4","protein_coding"
"1132","ENSG00000092847","AGO1","protein_coding"
"1135","ENSG00000126070","AGO3","protein_coding"
"1138","ENSG00000092850","TEKT2","protein_coding"
"1139","ENSG00000116863","ADPRHL2","protein_coding"
"1140","ENSG00000171812","COL8A2","protein_coding"
"1141","ENSG00000054116","TRAPPC3","protein_coding"
"1142","ENSG00000116871","MAP7D1","protein_coding"
"1144","ENSG00000054118","THRAP3","protein_coding"
"1146","ENSG00000214193","SH3D21","protein_coding"
"1147","ENSG00000142694","EVA1B","protein_coding"
"1149","ENSG00000196182","STK40","protein_coding"
"1150","ENSG00000181817","LSM10","protein_coding"
"1152","ENSG00000116885","OSCP1","protein_coding"
"1154","ENSG00000116898","MRPS15","protein_coding"
"1155","ENSG00000119535","CSF3R","protein_coding"
"1160","ENSG00000163873","GRIK3","protein_coding"
"1168","ENSG00000163874","ZC3H12A","protein_coding"
"1170","ENSG00000163875","MEAF6","protein_coding"
"1172","ENSG00000163877","SNIP1","protein_coding"
"1175","ENSG00000163879","DNALI1","protein_coding"
"1176","ENSG00000134697","GNL2","protein_coding"
"1178","ENSG00000169218","RSPO1","protein_coding"
"1179","ENSG00000116922","C1orf109","protein_coding"
"1180","ENSG00000134690","CDCA8","protein_coding"
"1181","ENSG00000183317","EPHA10","protein_coding"
"1185","ENSG00000185090","MANEAL","protein_coding"
"1187","ENSG00000196449","YRDC","protein_coding"
"1188","ENSG00000197982","C1orf122","protein_coding"
"1189","ENSG00000188786","MTF1","protein_coding"
"1192","ENSG00000204084","INPP5B","protein_coding"
"1196","ENSG00000183431","SF3A3","protein_coding"
"1198","ENSG00000183386","FHL3","protein_coding"
"1199","ENSG00000183520","UTP11","protein_coding"
"1200","ENSG00000185668","POU3F1","protein_coding"
"1211","ENSG00000116954","RRAGC","protein_coding"
"1214","ENSG00000214114","MYCBP","protein_coding"
"1215","ENSG00000274944","RP5-864K19.6","protein_coding"
"1216","ENSG00000131233","GJA9","protein_coding"
